,Unnamed: 0,rating,reviewContent,clean_teks
4506,4506,5,"buat hd ext. 2T, hardcase ini bagus. kuat. pilihan warna aja yg dikit",hd ext t hardcase bagus kuat pilih warna
4507,4507,4,Barang bagus. Dan lengkap sama bonusnya,barang bagus lengkap bonus
4508,4508,4,Barangnya cepat sampai dan bagus,barang cepat bagus
4509,4509,4,Cuman ada sayangnya .. Bentuk dalam casenya beda kaya yang gambar  But is oc keren,sayang bentuk casenya beda kaya gambar but is oc keren
4510,4510,5,Mantul,mantul
4511,4511,5,nan,nan
4512,4512,5,nan,nan
4513,4513,5,nan,nan
4514,4514,2,nan,nan
4515,4515,5,nan,nan
4516,4516,5,nan,nan
4517,4517,5,nan,nan
4518,4518,3,nan,nan
4519,4519,4,nan,nan
4520,4520,5,nan,nan
4521,4521,5,nan,nan
4522,4522,4,nan,nan
4523,4523,5,nan,nan
4524,4524,4,nan,nan
4525,4525,5,nan,nan
4526,4526,5,nan,nan
4527,4527,5,case josss,case josss
4528,4528,5,nan,nan
4529,4529,5,nan,nan
4530,4530,5,mantap gan,mantap juragan
4531,4531,5,nan,nan
4532,4532,5,nan,nan
4533,4533,5,nan,nan
4534,4534,2,nan,nan
4535,4535,5,nan,nan
4536,4536,3,nan,nan
4537,4537,4,bagus,bagus
4538,4538,4,nan,nan
4539,4539,5,"barang bagus,goods respon seller",barang bagusgoods respon jual
4540,4540,5,nan,nan
4541,4541,5,"Barang udah saya terima, makasih lazada",barang terima terimakasih lazada
4542,4542,5,Bintang bicara...,bintang bicara
4543,4543,5,nan,nan
4544,4544,1,Barang yg dikirim ternyata KW.... kecewa,barang kirim kau kecewa
4545,4545,1,"Kecewa bgt,brg palsu.perlu di tindak lanjuti penipuan!!!",kecewa bgtbrg palsuperlu tindak lanjut tipu
4546,4546,1,nan,nan
4547,4547,1,nan,nan
4548,4548,5,Oke,oke
4549,4549,5,"mantap, tp blm dicoba semoga memuaskan",mantap coba moga muas
4550,4550,5,Bagusss  n mantap..,bagusss n mantap
4551,4551,5,"bungkusnya rapi dan dapat maen flashdisk lgi, trima kasih lazada",bungkus rapi main flashdisk trima kasih lazada
4552,4552,5,"pengirimannya cepat , fast respon dan kualitas bagus dan harga sangat terjangkau . Terima kasih LAZADA 👍",kirim cepat fast respon kualitas bagus harga jangkau terima kasih lazada
4553,4553,4,pengirimanya cepat packingnya rapih cuma gk sesuai harus 16 GB ini 14 GB tolong perbaiki lagi kedepannya,pengirimanya cepat packingnya rapih sesuai gb gb tolong baik depan
4554,4554,5,Alhamdulillah gak ada yg ccat :),alhamdulillah ccat
4555,4555,5,"pesanan telah sampai, sesuai dengan yang diinginkan dan pengiriman juga cepat pokoknya recomended seller",pesan sesuai kirim cepat pokok recomended jual
4556,4556,5,ok barang barang bagus.  harga gk jadi masalah yg penting barangnya asli..,ok barang barang bagus harga barang asli
4557,4557,5,"Bagus dah dicoba berpungsi, mudah2an awet.",bagus coba pungsi mudah awet
4558,4558,5,"Alhamdulillah , barang sampai sesuai pesanan",alhamdulillah barang sesuai pesan
4559,4559,5,Cepat dan mantap,cepat mantap
4560,4560,5,"blm dicoba flashdisk nya, semoga bisa,pengemasan rapih💛",coba flashdisk nya moga bisapengemasan rapih
4561,4561,5,The bessttttt,the bessttttt
4562,4562,5,Barang original mantap Recomended,barang original mantap recomended
4563,4563,5,sesuai pesanan next bakal order lagi disini ..😍,sesuai pesan next order
4564,4564,5,Sangat puas dengan hasilnya😁👍 Sesuai dgn yg dipesan..Terima kasih yaa👍👍,puas hasil sesuai dipesanterima kasih yaa
4565,4565,5,"Mantap... Barang berfungsi dengan baik, ada bonus gantungan kunci lagi",mantap barang fungsi bonus gantung kunci
4566,4566,5,"berfungsi,pengiriman juga cepat",berfungsipengiriman cepat
4567,4567,5,Alhamdulillah. Pesanan cepat sampai. Pesan hari ini besoknya sampai. Flashdisk sesuai harapan. Luar biasa. Jazakumullah khairan katsir.,alhamdulillah pesan cepat pesan besok flashdisk sesuai harap jazakumullah khair katsir
4568,4568,5,"barang sesuai gmbar, dan di coba lgsung joss,  sbntar lg saya pesan yg 32 gb,  smoga barangnya bgus sperti kmaren, good jet store dan lazada",barang sesuai gmbar coba langsung joss sebentar pesan gb moga barang bgus sperti kemarin good jet store lazada
4569,4569,5,mantul barangnya,mantul barang
4570,4570,5,mantap bagus cuma pengiriman super lambat,mantap bagus kirim super lambat
4571,4571,5,Mantap. Tpi gantungan kunci nya kurang sesuai.  . Semoga bisa berfungsi ..,mantap gantung kunci nya sesuai moga fungsi
4572,4572,5,Produk ok pengiriman cepat mantap lah pokonya expres dan semoga ajah awet,produk ok kirim cepat mantap poko expres moga awet
4573,4573,5,terima kasih paket sudah diterima... 😀😀,terima kasih paket terima
4574,4574,5,"barang sesuai pesanan + hadiahnya, tpi flashdisknya belum di coba smoga bagus. tanks lazada.",barang sesuai pesan hadiah flashdisknya coba moga bagus terimakasih lazada
4575,4575,5,alhamdulillah,alhamdulillah
4576,4576,5,Barang original + dapat gantungan kunci. Pengiriman cepat.  Thanks Lazada.,barang original gantung kunci kirim cepat terimakasih lazada
4577,4577,5,"mantap Bang, hanya kalau boleh saran Kurirnya jgan PT.Pxx donk. hhe. agak lama pengirimannya. secara keseluruhan Oke banget.  thanks Lazadan dan Seller",mantap bang saran kurir jgan ptpxx donk hhe kirim oke banget terimakasih lazadan jual
4578,4578,5,trimksh... prosesnya cepat dan barang datangnya juga bagus.... packingan juga rapi banget.... saya suka.   thx Lazada,trimksh proses cepat barang datang bagus packingan rapi banget suka terimakasih lazada
4579,4579,5,nan,nan
4580,4580,5,nan,nan
4581,4581,5,nan,nan
4582,4582,5,nan,nan
4583,4583,5,nan,nan
4584,4584,5,nan,nan
4585,4585,5,nan,nan
4586,4586,5,nan,nan
4587,4587,5,nan,nan
4588,4588,5,nan,nan
4589,4589,5,nan,nan
4590,4590,5,nan,nan
4591,4591,5,nan,nan
4592,4592,5,"Barangnya sudah sampe dengan selamat, pengirimannya cepat",barang selamat kirim cepat
4593,4593,5,Sangat bagus bgt,bagus banget
4594,4594,5,Barangnya baik,barang
4595,4595,5,oke barang sesuai pesanan,oke barang sesuai pesan
